timestamp,feedback,sentiment,urgency,emotion,category
2025-01-01T01:19:11,"Food was good, service could be faster.",Positive,Medium,satisfaction,Pricing
2025-01-01T01:43:38,It was okay.,Neutral,Low,calm,Pricing
2025-01-01T01:50:20,Everything was perfect. Thank you!,Very Positive,Low,joy,Pricing
2025-01-01T01:54:25,உணவு அருமை! நன்றி!,Very Positive,High,gratitude,Cleanliness
2025-01-01T04:53:52,"Food was good, service could be faster.",Positive,Low,joy,Cleanliness
2025-01-01T04:59:59,Everything was perfect. Thank you!,Very Positive,Low,joy,Food Quality
2025-01-01T05:08:46,"Food was good, service could be faster.",Positive,Medium,joy,Pricing
2025-01-01T05:16:07,மிகுந்த மகிழ்ச்சி! 😊,Very Positive,Low,gratitude,Other
2025-01-01T05:24:21,"Had a great time, thanks!",Positive,Low,satisfaction,Cleanliness
2025-01-01T06:15:01,Everything was perfect. Thank you!,Very Positive,Low,satisfaction,Food Quality
2025-01-01T07:50:40,Everything was perfect. Thank you!,Very Positive,Low,satisfaction,Delivery
2025-01-01T08:03:51,අද සුපිරි අත්දැකීමක් ලැබුණා! ❤️,Very Positive,High,joy,Waiting Time
2025-01-01T08:10:53,Everything was perfect. Thank you!,Very Positive,Medium,satisfaction,Cleanliness
2025-01-01T09:50:30,Everything was perfect. Thank you!,Very Positive,Low,gratitude,Takeaway Issues
2025-01-01T11:54:05,සාමාන්‍යම හැමදේම.,Neutral,Medium,indifference,Other
2025-01-01T12:43:28,"Had a great time, thanks!",Positive,Low,joy,Cleanliness
2025-01-01T12:49:30,"Had a great time, thanks!",Positive,Low,satisfaction,Food Quality
2025-01-01T13:38:42,Absolutely loved the food today!,Very Positive,Low,satisfaction,Customer Service
2025-01-01T14:05:37,Absolutely loved the food today!,Very Positive,Low,gratitude,Other
2025-01-01T15:43:29,Nothing special to mention.,Neutral,Low,indifference,Food Quality
2025-01-01T16:24:43,Everything was perfect. Thank you!,Very Positive,Low,joy,Waiting Time
2025-01-01T17:26:08,Amazing service and delicious noodles!,Very Positive,High,gratitude,Pricing
2025-01-01T18:42:47,Average experience.,Neutral,Low,indifference,Other
2025-01-01T18:52:21,Absolutely loved the food today!,Very Positive,Medium,satisfaction,Cleanliness
2025-01-01T19:38:23,ආහාරය සුපිරියි! අතිශයින් සතුටුයි!,Very Positive,Medium,gratitude,Customer Service
2025-01-01T21:23:10,Amazing service and delicious noodles!,Very Positive,Low,gratitude,Food Quality
2025-01-02T00:48:47,Amazing service and delicious noodles!,Very Positive,Low,satisfaction,Takeaway Issues
2025-01-02T02:41:55,අත්දැකීම සාමාන්‍යයෙන් හොඳයි.,Positive,Medium,satisfaction,Food Quality
2025-01-02T04:27:32,ආහාරය සුපිරියි! අතිශයින් සතුටුයි!,Very Positive,Medium,joy,Delivery
2025-01-02T05:32:32,ආහාරය සුපිරියි! අතිශයින් සතුටුයි!,Very Positive,Low,joy,Takeaway Issues
2025-01-02T06:41:04,Absolutely loved the food today!,Very Positive,High,joy,Customer Service
2025-01-02T06:52:04,"Had a great time, thanks!",Positive,Medium,joy,Food Quality
2025-01-02T07:57:08,Amazing service and delicious noodles!,Very Positive,Low,gratitude,Takeaway Issues
2025-01-02T10:59:25,"Food was good, service could be faster.",Positive,Low,satisfaction,Other
2025-01-02T11:36:39,Amazing service and delicious noodles!,Very Positive,Medium,joy,Takeaway Issues
2025-01-02T11:42:06,Absolutely loved the food today!,Very Positive,Medium,satisfaction,Other
2025-01-02T11:47:50,Absolutely loved the food today!,Very Positive,Low,joy,Other
2025-01-02T13:48:33,"Food was good, service could be faster.",Positive,Medium,satisfaction,Delivery
2025-01-02T15:25:01,Absolutely loved the food today!,Very Positive,Low,gratitude,Delivery
2025-01-02T16:08:53,Absolutely loved the food today!,Very Positive,Low,satisfaction,Customer Service
2025-01-02T17:38:10,Absolutely loved the food today!,Very Positive,Low,satisfaction,Cleanliness
2025-01-02T17:40:18,ආහාරය සුපිරියි! අතිශයින් සතුටුයි!,Very Positive,Low,joy,Cleanliness
2025-01-02T18:07:08,Everything was perfect. Thank you!,Very Positive,Low,gratitude,Other
2025-01-02T19:11:19,හරිම රසයි. ස්තුතියි! 😊,Very Positive,Low,gratitude,Takeaway Issues
2025-01-02T19:52:51,"ආහාරය රසයි, සේවාව තව හොඳ වෙන්න පුළුවන්.",Positive,Medium,satisfaction,Other
2025-01-02T20:06:50,Average experience.,Neutral,High,indifference,Customer Service
2025-01-02T20:17:19,It was okay.,Neutral,Medium,calm,Delivery
2025-01-02T21:47:57,Amazing service and delicious noodles!,Very Positive,Medium,joy,Pricing
2025-01-02T22:54:41,Everything was perfect. Thank you!,Very Positive,Low,satisfaction,Delivery
2025-01-02T23:37:47,Average experience.,Neutral,High,calm,Takeaway Issues
2025-01-03T01:46:48,Amazing service and delicious noodles!,Very Positive,Medium,satisfaction,Cleanliness
2025-01-03T02:36:22,Absolutely loved the food today!,Very Positive,Low,satisfaction,Other
2025-01-03T02:48:43,"Food was good, service could be faster.",Positive,Low,joy,Customer Service
2025-01-03T03:47:47,நல்ல சேவை மற்றும் சுவையான உணவு!,Very Positive,Low,satisfaction,Other
2025-01-03T05:13:57,"Food was good, service could be faster.",Positive,Low,satisfaction,Other
2025-01-03T06:58:57,Absolutely loved the food today!,Very Positive,Low,joy,Delivery
2025-01-03T07:16:12,மிகுந்த மகிழ்ச்சி! 😊,Very Positive,High,gratitude,Waiting Time
2025-01-03T07:33:14,හරිම රසයි. ස්තුතියි! 😊,Very Positive,Low,satisfaction,Cleanliness
2025-01-03T08:46:37,Everything was perfect. Thank you!,Very Positive,Low,joy,Other
2025-01-03T09:00:03,Amazing service and delicious noodles!,Very Positive,Low,gratitude,Food Quality
2025-01-03T09:01:15,"Had a great time, thanks!",Positive,High,joy,Delivery
2025-01-03T09:09:38,Absolutely loved the food today!,Very Positive,Low,gratitude,Other
2025-01-03T10:29:34,Amazing service and delicious noodles!,Very Positive,Low,gratitude,Waiting Time
2025-01-03T10:56:17,Everything was perfect. Thank you!,Very Positive,Low,gratitude,Waiting Time
2025-01-03T11:20:17,It was okay.,Neutral,High,indifference,Pricing
2025-01-03T11:42:08,Nothing special to mention.,Neutral,High,indifference,Food Quality
2025-01-03T12:09:38,Nothing special to mention.,Neutral,Medium,calm,Waiting Time
2025-01-03T12:43:48,"ආහාරය රසයි, සේවාව තව හොඳ වෙන්න පුළුවන්.",Positive,Medium,joy,Cleanliness
2025-01-03T14:43:53,"Food was good, service could be faster.",Positive,Medium,satisfaction,Takeaway Issues
2025-01-03T16:31:16,நல்ல சேவை மற்றும் சுவையான உணவு!,Very Positive,Low,gratitude,Cleanliness
2025-01-03T18:01:06,Absolutely loved the food today!,Very Positive,Low,satisfaction,Takeaway Issues
2025-01-03T18:23:32,Absolutely loved the food today!,Very Positive,Low,gratitude,Pricing
2025-01-03T18:33:02,Everything was perfect. Thank you!,Very Positive,Low,gratitude,Food Quality
2025-01-03T18:57:14,Amazing service and delicious noodles!,Very Positive,Low,joy,Cleanliness
2025-01-03T19:07:36,Everything was perfect. Thank you!,Very Positive,Medium,gratitude,Delivery
2025-01-04T00:04:50,Amazing service and delicious noodles!,Very Positive,Low,joy,Waiting Time
2025-01-04T00:35:58,අත්දැකීම සාමාන්‍යයෙන් හොඳයි.,Positive,Medium,joy,Food Quality
2025-01-04T00:59:26,Average experience.,Neutral,Medium,indifference,Takeaway Issues
2025-01-04T01:19:17,Absolutely loved the food today!,Very Positive,Low,satisfaction,Other
2025-01-04T01:42:01,Absolutely loved the food today!,Very Positive,Low,joy,Customer Service
2025-01-04T01:55:19,Absolutely loved the food today!,Very Positive,Low,joy,Waiting Time
2025-01-04T02:15:30,Everything was perfect. Thank you!,Very Positive,High,joy,Delivery
2025-01-04T02:17:32,"Had a great time, thanks!",Positive,Low,satisfaction,Delivery
2025-01-04T02:57:28,"ආහාරය රසයි, සේවාව තව හොඳ වෙන්න පුළුවන්.",Positive,Medium,joy,Food Quality
2025-01-04T03:53:20,Absolutely loved the food today!,Very Positive,Low,satisfaction,Other
2025-01-04T04:17:23,"Had a great time, thanks!",Positive,Medium,satisfaction,Customer Service
2025-01-04T04:46:58,හරිම රසයි. ස්තුතියි! 😊,Very Positive,Medium,gratitude,Cleanliness
2025-01-04T08:13:25,ආහාරය සුපිරියි! අතිශයින් සතුටුයි!,Very Positive,Medium,satisfaction,Pricing
2025-01-04T08:14:49,Amazing service and delicious noodles!,Very Positive,Medium,joy,Delivery
2025-01-04T09:58:11,Everything was perfect. Thank you!,Very Positive,Low,gratitude,Other
2025-01-04T10:37:16,එකලස් කමක් නෑ.,Neutral,Medium,calm,Waiting Time
2025-01-04T12:31:54,අද සුපිරි අත්දැකීමක් ලැබුණා! ❤️,Very Positive,Low,joy,Cleanliness
2025-01-04T15:17:04,Absolutely loved the food today!,Very Positive,Low,joy,Takeaway Issues
2025-01-04T18:08:35,අත්දැකීම සාමාන්‍යයෙන් හොඳයි.,Positive,Low,satisfaction,Takeaway Issues
